Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,0.72,0.77,0.78,0.82,0.85,0.99,1.02,1.11,1.25,1.47,0.81,0.85,0.92,1.31,1.07,1,1.03,1.14,0.95,0.7,0.53,0.4,0.5,0.63,0.62,0.61,0.49,0.73,1.39,1.45,1.53,1.75,1.9,2.27,2.35,1.9,2.07,2.26,2.2,2.21,2.32,,,
Algeria,,,,,,,,,,,,2.63,2.61,2.95,3.25,3.62,4.08,4.49,5.14,5.61,6.15,6.72,7.02,7.53,8.08,12.28,12.41,12.54,12.58,12.8,15.65,16.71,16.63,16.79,15.37,14.96,14.82,14.87,15.31,16.31,16.68,16.87,19.17,21.55,21.81,23.93,25.38,27.33,28.89,30.22,31.41,32.34,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,1.02,1.7,1.43,1.29,1.09,1.1,0.64,1.32,1.04,0.99,0.86,0.85,0.77,0.7,1.03,1.02,1.03,1.23,1.29,1.01,1.24,1.17,1.2,1.53,1.06,0.98,1.04,0.83,1.14,1.06,1.19,1.47,2.73,3.11,2.43,3.23,3.82,5.1,5.65,6.71,6.82,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,,,,,,,,,,,,24.41420014,28.04756602,30.74231238,34.14354654,37.55487339,43.20677586,50.75610274,62.83704427,70.92128334,78.76329802,91.83332249,103.1875909,118.7404153,125.3511227,130.6598739,129.3175471,137.4219715,145.1832448,151.1782984,152.6720155,156.1136204,169.0322547,175.037401,182.4151523,178.2872449,184.6658206,188.7533572,194.2336841,197.7560304,206.7889817,213.8235817,224.8750696,231.1325331,247.9873137,262.7125381,270.9885382,298.5415627,314.4980945,334.3403093,351.2758313,355.2422557,,,
Argentina,,,,,,,,,,,,23.88,25.53,26,26.32,25.06,25.01,26.97,27.65,29.97,30.91,31.01,31.14,31.26,29.73,26.02,28.39,29.03,27.39,27.41,28.16,29.67,31.8,35.39,37.24,38.28,39.37,40.5,42.42,41.09,40.21,36.49,33.98,34.87,36.24,37.89,39.86,40.55,43.27,38.9,44.95,46.86,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93,2.87,1.81,1.18,0.16,0.11,0.06,0.06,0.07,0.07,0.56,0.56,0.54,0.58,0.6,0.67,0.66,1.05,1.25,1.13,1.25,1.29,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
