Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,700000000,900000000,1127000000,1300000000,1600000000,1900000000,2200000000,2400000000,2700000000,2950000000,3050000000,3125000000,3200000000,2739000000,2130000000,4061000000,3350000000,2939000000,3078000000,2848000000,3518000000,3226000000,3314000000,3771000000,4204000000,5726000000,5028000000,4921000000,5284000000,4594000000,3555000000,3512000000,4885000000,5466000000,5373000000,5431000000,2788000000,3797000000,5206000000,7579000000,4158000000,,,
Algeria,,,,,,,,,,,,330000000,495000000,752000000,497000000,328000000,389000000,269000000,250000000,291000000,257000000,366000000,479000000,235000000,452000000,646000000,250000000,499000000,183000000,226000000,135000000,293000000,199000000,353000000,166000000,193000000,135000000,75000000,215000000,203000000,54000000,69000000,57000000,265000000,251000000,555000000,218000000,226000000,283000000,306000000,174000000,502000000,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,605000000,680000000,814000000,858000000,950000000,428000000,428000000,528000000,555000000,595000000,595000000,631000000,578000000,601000000,701000000,701000000,701000000,701000000,710000000,725000000,772000000,840000000,890000000,895000000,900000000,925000000,875000000,1060000000,894000000,912000000,1017000000,1143000000,1241000000,1750000000,2219000000,2665000000,2497000000,3134000000,3094000000,3703000000,4007000000,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,,,,,,,,,,,,8278000000,8738000000,8385000000,9992000000,10678000000,12497000000,14366000000,15163000000,16253000000,16270000000,16342000000,16403000000,15177000000,15732000000,15183000000,15123000000,17088000000,17103000000,18177000000,18131000000,16719000000,16096000000,16363000000,17082000000,17044000000,18729000000,19345000000,19423000000,20685000000,20273000000,22255000000,19252000000,21277000000,22380000000,27820000000,27236000000,29177000000,25456000000,26449000000,33546000000,32881000000,,,
Argentina,,,,,,,,,,,,1601000000,1578000000,3051000000,5086000000,5263000000,5070000000,5827000000,7813000000,10753000000,15240000000,14769000000,17702000000,18569000000,19975000000,20762000000,21116000000,21949000000,15154000000,13084000000,17983000000,16321000000,19486000000,23974000000,27481000000,26949000000,23277000000,28477000000,26935000000,21966000000,29484000000,37696000000,36792000000,34927000000,31688000000,35367000000,39679000000,32015000000,32034000000,35267000000,35805000000,33717000000,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1555000000,1546000000,3044000000,4293000000,3514000000,1919000000,1572000000,1390000000,1537000000,1200000000,1261000000,968000000,1658000000,1982000000,1998000000,1773000000,1825000000,1856000000,1799000000,2023000000,2563000000,2492000000,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,4301000000,4924000000,5212000000,6900000000,7129000000,8589000000,7348000000,7912000000,7889000000,8653000000,9149000000,11844000000,11853000000,11749000000,13629000000,15173000000,15549000000,13576000000,14287000000,15787000000,13327000000,14480000000,14112000000,12563000000,12527000000,14118000000,14962000000,14067000000,15029000000,15265000000,14898000000,16590000000,16019000000,17220000000,17042000000,16631000000,16362000000,17507000000,16448000000,17398000000,17590000000,18162000000,17874000000,18619000000,18683000000,20103000000,21641000000,21012000000,19725000000,18601000000,21614000000,25520000000,23971000000,,
